fund_house,date,aum_crore,aum_lakh_crore,num_schemes,aum_rank
SBI Mutual Fund,2025-12-31,1250000.0,12.5,186,1
ICICI Prudential MF,2025-12-31,1074000.0,10.74,216,2
HDFC Mutual Fund,2025-12-31,930000.0,9.3,195,3
Nippon India MF,2025-12-31,700000.0,7.0,177,4
Kotak Mahindra MF,2025-12-31,580000.0,5.8,168,5
Aditya Birla Sun Life MF,2025-12-31,460000.0,4.6,199,6
UTI Mutual Fund,2025-12-31,410000.0,4.1,142,7
Axis Mutual Fund,2025-12-31,350000.0,3.5,95,8
Mirae Asset MF,2025-12-31,290000.0,2.9,56,9
DSP Mutual Fund,2025-12-31,230000.0,2.3,88,10
