month,sip_inflow_crore,mom_change_crore,mom_growth_pct,active_sip_accounts_crore,new_sip_accounts_lakh
2022-01,11517.0,,,4.91,9.1
2022-02,11438.0,-79.0,-0.69,4.93,8.2
2022-03,12328.0,890.0,7.78,5.09,10.5
2022-04,11863.0,-465.0,-3.77,5.48,9.52
2022-05,12286.0,423.0,3.57,5.55,8.1
2022-06,12276.0,-10.0,-0.08,5.6,7.5
2022-07,12140.0,-136.0,-1.11,5.65,9.21
2022-08,12694.0,554.0,4.56,5.71,8.9
2022-09,12976.0,282.0,2.22,5.8,9.4
2022-10,13040.0,64.0,0.49,5.93,9.52
2022-11,13306.0,266.0,2.04,6.0,8.8
2022-12,13573.0,267.0,2.01,6.05,7.6
2023-01,13856.0,283.0,2.09,6.13,9.1
2023-02,13687.0,-169.0,-1.22,6.19,8.2
2023-03,14276.0,589.0,4.3,6.32,10.0
2023-04,14749.0,473.0,3.31,6.41,9.25
2023-05,14749.0,0.0,0.0,6.5,8.7
2023-06,14734.0,-15.0,-0.1,6.55,7.9
2023-07,15245.0,511.0,3.47,6.65,9.8
2023-08,15814.0,569.0,3.73,6.73,9.1
2023-09,16042.0,228.0,1.44,6.82,10.2
2023-10,16928.0,886.0,5.52,6.91,9.5
2023-11,17073.0,145.0,0.86,7.0,8.8
2023-12,17610.0,537.0,3.15,7.1,8.4
2024-01,18838.0,1228.0,6.97,7.2,9.6
2024-02,19187.0,349.0,1.85,7.3,8.5
2024-03,20371.0,1184.0,6.17,7.4,9.0
2024-04,20371.0,0.0,0.0,7.6,9.4
2024-05,21262.0,891.0,4.37,7.78,8.9
2024-06,21262.0,0.0,0.0,7.9,8.2
2024-07,23332.0,2070.0,9.74,8.0,10.0
2024-08,23547.0,215.0,0.92,8.11,9.8
2024-09,24509.0,962.0,4.09,8.22,9.2
2024-10,25323.0,814.0,3.32,8.3,9.55
2024-11,25320.0,-3.0,-0.01,8.4,9.1
2024-12,26459.0,1139.0,4.5,8.5,9.3
2025-01,26400.0,-59.0,-0.22,8.22,9.1
2025-02,25999.0,-401.0,-1.52,8.3,8.6
2025-03,25926.0,-73.0,-0.28,8.11,7.8
2025-04,26632.0,706.0,2.72,8.38,46.0
2025-05,26688.0,56.0,0.21,8.5,9.2
2025-06,27274.0,586.0,2.2,8.62,9.5
2025-07,28464.0,1190.0,4.36,8.75,10.2
2025-08,28265.0,-199.0,-0.7,8.85,9.8
2025-09,29361.0,1096.0,3.88,9.0,10.5
2025-10,29529.0,168.0,0.57,9.1,9.45
2025-11,30200.0,671.0,2.27,9.2,9.1
2025-12,31002.0,802.0,2.66,9.35,9.8
