amfi_code,scheme_name,dominant_sector,dominant_sector_weight_pct
119092,Axis Bluechip Fund - Regular - Growth,IT,48.69
149323,DSP Midcap Fund - Regular - Growth,Pharma,41.34
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Banking,41.2
120505,ICICI Pru Midcap Fund - Regular - Growth,Pharma,40.75
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Banking,39.82
118635,Nippon India ETF Nifty 50 BeES,IT,39.35
102887,UTI Flexi Cap Fund - Regular - Growth,Pharma,39.04
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Banking,35.97
120504,ICICI Pru Bluechip Fund - Direct - Growth,Banking,35.61
101207,ABSL Small Cap Fund - Regular - Growth,Pharma,35.07
118633,Nippon India Large Cap Fund - Direct - Growth,Banking,34.18
119599,SBI Small Cap Fund - Direct Plan - Growth,Banking,34.08
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Banking,33.8
149324,DSP Small Cap Fund - Regular - Growth,Pharma,32.52
119552,SBI Bluechip Fund - Direct Plan - Growth,Automobile,32.48
119598,SBI Small Cap Fund - Regular Plan - Growth,IT,31.84
148567,Mirae Asset Large Cap Fund - Regular - Growth,Banking,30.78
120503,ICICI Pru Bluechip Fund - Regular - Growth,FMCG,30.67
118632,Nippon India Large Cap Fund - Regular - Growth,Telecom,30.44
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Banking,30.4
102885,UTI Nifty 50 Index Fund - Regular - Growth,Utilities,28.95
149322,DSP Top 100 Equity Fund - Regular - Growth,Banking,28.64
120841,Kotak Bluechip Fund - Regular - Growth,Pharma,27.46
125497,HDFC Top 100 Fund - Direct Plan - Growth,IT,26.92
119093,Axis Bluechip Fund - Direct - Growth,IT,26.67
120842,Kotak Emerging Equity Fund - Regular - Growth,Automobile,26.66
100016,HDFC Top 100 Fund - Regular Plan - Growth,IT,25.9
118634,Nippon India Small Cap Fund - Regular - Growth,FMCG,25.23
101206,ABSL Frontline Equity Fund - Regular - Growth,Banking,25.09
119095,Axis Small Cap Fund - Regular - Growth,IT,24.25
119094,Axis Midcap Fund - Regular - Growth,FMCG,23.17
119551,SBI Bluechip Fund - Regular Plan - Growth,Utilities,21.33
120843,Kotak Flexicap Fund - Regular - Growth,Utilities,19.94
102886,UTI Mid Cap Fund - Regular - Growth,Consumer Goods,18.99
